成交日期,省份,城市,区域,商圈,小区,户型,面积（m²）,挂牌价（万元）,成交价（万元）,成交单价（元）
2025-08-16,福建,厦门市,思明,中山路,名汇广场,1室1厅,45.21,,164.0,36386.0
2025-08-16,福建,厦门市,思明,中山路,名汇广场,2室1厅,43.24,,187.0,43247.0
2025-01-11,福建,厦门市,思明,中山路,名汇广场,1室1厅,43.37,,204.0,47038.0
2024-11-01,福建,厦门市,思明,中山路,名汇广场,1室1厅,37.07,,168.0,45320.0
2024-10-27,福建,厦门市,思明,中山路,名汇广场,,44.92,,198.0,44079.0
2024-05-09,福建,厦门市,思明,中山路,名汇广场,,44.67,,225.0,50370.0
2023-12-17,福建,厦门市,思明,中山路,名汇广场,,31.23,,208.0,66603.0
2023-11-19,福建,厦门市,思明,中山路,名汇广场,,30.93,,203.0,65891.0
2023-04-28,福建,厦门市,思明,中山路,名汇广场,,32.2,,245.0,76087.0
2023-03-06,福建,厦门市,思明,中山路,名汇广场,1室1厅,47.09,,320.0,67955.0
2025-11-11,福建,厦门市,集美,杏林湾,世茂璀璨天城二期,3室1厅,87.11,,233.0,26840.0
2025-11-11,福建,厦门市,集美,杏林湾,世茂璀璨天城二期,,32.21,,8.0,2484.0
2025-11-04,福建,厦门市,集美,杏林湾,世茂璀璨天城二期,3室2厅,105.72,,258.0,24405.0
2025-10-29,福建,厦门市,集美,杏林湾,世茂璀璨天城二期,,31.29,,15.0,4794.0
2025-10-14,福建,厦门市,集美,杏林湾,世茂璀璨天城二期,3室2厅,84.86,,285.0,33585.0
2025-09-23,福建,厦门市,集美,杏林湾,世茂璀璨天城二期,3室1厅,85.61,,282.0,33034.0
2025-08-25,福建,厦门市,集美,杏林湾,世茂璀璨天城二期,3室2厅,102.85,,284.0,27614.0
2025-08-16,福建,厦门市,集美,杏林湾,世茂璀璨天城二期,3室1厅,102.81,,265.0,25776.0
2025-07-26,福建,厦门市,集美,杏林湾,世茂璀璨天城二期,4室3厅,143.33,,483.0,33699.0
2025-07-21,福建,厦门市,集美,杏林湾,世茂璀璨天城二期,4室2厅,143.67,,432.0,30069.0
2025-07-09,福建,厦门市,集美,杏林湾,世茂璀璨天城二期,3室2厅,105.64,,296.0,28020.0
2025-07-09,福建,厦门市,集美,杏林湾,世茂璀璨天城二期,3室1厅,105.51,,304.0,28870.0
2025-06-27,福建,厦门市,集美,杏林湾,世茂璀璨天城二期,3室2厅,105.54,,305.0,28899.0
2025-06-02,福建,厦门市,集美,杏林湾,世茂璀璨天城二期,4室2厅,125.99,,311.0,24685.0
2025-05-15,福建,厦门市,集美,杏林湾,世茂璀璨天城二期,3室2厅,84.33,,323.0,38420.0
2025-05-11,福建,厦门市,集美,杏林湾,世茂璀璨天城二期,4室2厅,106.51,,430.0,40372.0
2025-05-03,福建,厦门市,集美,杏林湾,世茂璀璨天城二期,3室2厅,105.53,,320.0,30324.0
2025-04-27,福建,厦门市,集美,杏林湾,世茂璀璨天城二期,3室2厅,83.05,,276.0,33233.0
2025-04-09,福建,厦门市,集美,杏林湾,世茂璀璨天城二期,4室2厅,125.55,,368.0,29312.0
2025-03-31,福建,厦门市,集美,杏林湾,世茂璀璨天城二期,3室2厅,105.29,,325.0,30868.0
2025-03-24,福建,厦门市,集美,杏林湾,世茂璀璨天城二期,3室2厅,83.22,,305.0,36650.0
2025-03-14,福建,厦门市,集美,杏林湾,世茂璀璨天城二期,3室1厅,87.09,,314.0,36078.0
2025-03-14,福建,厦门市,集美,杏林湾,世茂璀璨天城二期,4室2厅,126.41,,393.0,31090.0
2025-03-10,福建,厦门市,集美,杏林湾,世茂璀璨天城二期,3室2厅,105.51,,283.0,26879.0
2025-03-09,福建,厦门市,集美,杏林湾,世茂璀璨天城二期,3室1厅,105.56,,350.0,33157.0
2025-03-08,福建,厦门市,集美,杏林湾,世茂璀璨天城二期,3室2厅,85.61,,286.0,33408.0
2025-03-06,福建,厦门市,集美,杏林湾,世茂璀璨天城二期,3室2厅,103.17,,335.0,32520.0
2025-03-03,福建,厦门市,集美,杏林湾,世茂璀璨天城二期,3室2厅,105.72,,334.0,31658.0
2025-02-19,福建,厦门市,集美,杏林湾,世茂璀璨天城二期,4室1厅,126.38,,428.0,33867.0
2025-02-17,福建,厦门市,集美,杏林湾,世茂璀璨天城二期,4室3厅,149.86,,510.0,34032.0
2025-02-15,福建,厦门市,集美,杏林湾,世茂璀璨天城二期,3室2厅,83.41,,316.0,37886.0
2025-01-22,福建,厦门市,集美,杏林湾,世茂璀璨天城二期,3室2厅,86.48,,339.0,39200.0
2025-01-21,福建,厦门市,集美,杏林湾,世茂璀璨天城二期,3室2厅,102.73,,325.0,31637.0
2025-01-16,福建,厦门市,集美,杏林湾,世茂璀璨天城二期,3室2厅,102.7,,318.0,30964.0
2025-01-11,福建,厦门市,集美,杏林湾,世茂璀璨天城二期,3室1厅,106.17,,292.0,27504.0
2024-12-29,福建,厦门市,集美,杏林湾,世茂璀璨天城二期,3室2厅,102.72,,305.0,29693.0
2024-12-22,福建,厦门市,集美,杏林湾,世茂璀璨天城二期,4室2厅,106.18,,318.0,30025.0
2024-12-19,福建,厦门市,集美,杏林湾,世茂璀璨天城二期,4室1厅,125.16,,412.0,32982.0
2024-12-18,福建,厦门市,集美,杏林湾,世茂璀璨天城二期,3室2厅,105.52,,344.0,32601.0
2024-12-03,福建,厦门市,集美,杏林湾,世茂璀璨天城二期,3室2厅,102.7,,323.0,31510.0
2024-12-03,福建,厦门市,集美,杏林湾,世茂璀璨天城二期,4室2厅,109.05,,416.0,38221.0
2024-11-30,福建,厦门市,集美,杏林湾,世茂璀璨天城二期,3室1厅,106.06,,310.0,29291.0
2024-11-30,福建,厦门市,集美,杏林湾,世茂璀璨天城二期,3室2厅,102.35,,323.0,31559.0
2024-11-24,福建,厦门市,集美,杏林湾,世茂璀璨天城二期,3室1厅,102.85,,308.0,29947.0
2024-11-18,福建,厦门市,集美,杏林湾,世茂璀璨天城二期,3室2厅,105.51,,345.0,32775.0
2024-11-14,福建,厦门市,集美,杏林湾,世茂璀璨天城二期,3室2厅,102.85,,307.0,29850.0
2024-11-10,福建,厦门市,集美,杏林湾,世茂璀璨天城二期,4室2厅,125.21,,361.0,28896.0
2024-11-09,福建,厦门市,集美,杏林湾,世茂璀璨天城二期,3室2厅,103.41,,301.0,29185.0
2024-11-05,福建,厦门市,集美,杏林湾,世茂璀璨天城二期,3室2厅,103.17,,303.0,29370.0
2024-11-01,福建,厦门市,集美,杏林湾,世茂璀璨天城二期,3室2厅,84.14,,318.0,37795.0
2024-10-29,福建,厦门市,集美,杏林湾,世茂璀璨天城二期,3室2厅,102.81,,306.0,29764.0
2024-10-24,福建,厦门市,集美,杏林湾,世茂璀璨天城二期,3室1厅,102.35,,303.0,29605.0
2024-10-20,福建,厦门市,集美,杏林湾,世茂璀璨天城二期,3室2厅,102.75,,280.0,27251.0
2024-10-10,福建,厦门市,集美,杏林湾,世茂璀璨天城二期,3室2厅,106.17,,308.0,29011.0
2024-10-02,福建,厦门市,集美,杏林湾,世茂璀璨天城二期,3室2厅,105.29,,310.0,29443.0
2024-09-30,福建,厦门市,集美,杏林湾,世茂璀璨天城二期,3室2厅,105.61,,310.0,29354.0
2024-08-29,福建,厦门市,集美,杏林湾,世茂璀璨天城二期,3室2厅,103.41,,295.0,28528.0
2024-08-25,福建,厦门市,集美,杏林湾,世茂璀璨天城二期,4室1厅,125.06,,429.0,34328.0
2024-08-09,福建,厦门市,集美,杏林湾,世茂璀璨天城二期,4室2厅,110.82,,339.0,30663.0
2024-08-04,福建,厦门市,集美,杏林湾,世茂璀璨天城二期,3室2厅,86.48,,329.0,38044.0
2024-07-22,福建,厦门市,集美,杏林湾,世茂璀璨天城二期,3室1厅,85.61,,328.0,38372.0
2024-06-12,福建,厦门市,集美,杏林湾,世茂璀璨天城二期,3室1厅,84.67,,352.0,41574.0
2024-06-10,福建,厦门市,集美,杏林湾,世茂璀璨天城二期,3室1厅,87.11,,318.0,36598.0
2024-06-09,福建,厦门市,集美,杏林湾,世茂璀璨天城二期,3室2厅,84.45,,362.0,42961.0
2024-04-22,福建,厦门市,集美,杏林湾,世茂璀璨天城二期,3室1厅,84.15,,330.0,39216.0
2024-03-24,福建,厦门市,集美,杏林湾,世茂璀璨天城二期,3室2厅,105.54,,373.0,35343.0
2024-03-20,福建,厦门市,集美,杏林湾,世茂璀璨天城二期,4室2厅,104.05,,490.0,47093.0
2024-03-13,福建,厦门市,集美,杏林湾,世茂璀璨天城二期,3室2厅,84.15,,358.0,42544.0
2024-02-25,福建,厦门市,集美,杏林湾,世茂璀璨天城二期,3室2厅,105.61,,376.0,35603.0
2024-01-23,福建,厦门市,集美,杏林湾,世茂璀璨天城二期,4室2厅,125.16,,439.0,35148.0
2024-01-17,福建,厦门市,集美,杏林湾,世茂璀璨天城二期,4室2厅,143.67,,485.0,33758.0
2023-12-14,福建,厦门市,集美,杏林湾,世茂璀璨天城二期,3室2厅,84.86,,416.0,49022.0
2023-12-10,福建,厦门市,集美,杏林湾,世茂璀璨天城二期,3室2厅,102.7,,363.0,35346.0
2023-12-09,福建,厦门市,集美,杏林湾,世茂璀璨天城二期,3室2厅,84.15,,357.0,42425.0
2023-12-09,福建,厦门市,集美,杏林湾,世茂璀璨天城二期,4室2厅,106.21,,400.0,37662.0
2023-10-17,福建,厦门市,集美,杏林湾,世茂璀璨天城二期,3室2厅,84.33,,365.0,43283.0
2023-10-16,福建,厦门市,集美,杏林湾,世茂璀璨天城二期,3室2厅,102.85,,383.0,37239.0
2023-07-22,福建,厦门市,集美,杏林湾,世茂璀璨天城二期,3室2厅,103.41,,401.0,38778.0
2023-06-01,福建,厦门市,集美,杏林湾,世茂璀璨天城二期,3室2厅,105.63,,422.0,39951.0
2023-05-14,福建,厦门市,集美,杏林湾,世茂璀璨天城二期,3室2厅,102.78,,422.0,41059.0
2023-05-06,福建,厦门市,集美,杏林湾,世茂璀璨天城二期,3室3厅,84.86,,456.0,53736.0
2023-04-18,福建,厦门市,集美,杏林湾,世茂璀璨天城二期,3室2厅,102.68,,435.0,42414.0
2023-04-01,福建,厦门市,集美,杏林湾,世茂璀璨天城二期,4室1厅,109.21,,486.0,44502.0
2023-03-20,福建,厦门市,集美,杏林湾,世茂璀璨天城二期,3室2厅,105.72,,435.0,41147.0
2023-03-20,福建,厦门市,集美,杏林湾,世茂璀璨天城二期,3室2厅,105.65,,460.0,43540.0
2023-03-04,福建,厦门市,集美,杏林湾,世茂璀璨天城二期,3室2厅,102.75,,416.0,40487.0
2023-01-31,福建,厦门市,集美,杏林湾,世茂璀璨天城二期,3室1厅,102.81,,436.0,42409.0
2023-01-14,福建,厦门市,集美,杏林湾,世茂璀璨天城二期,4室2厅,121.6,,610.0,50165.0
2023-01-07,福建,厦门市,集美,杏林湾,世茂璀璨天城二期,3室2厅,105.54,,458.0,43396.0
2023-01-06,福建,厦门市,集美,杏林湾,世茂璀璨天城二期,3室1厅,83.41,,452.0,54191.0
2025-08-28,福建,厦门市,思明,莲坂,能群大厦,2室2厅,88.69,,276.0,31120.0
2025-08-16,福建,厦门市,思明,莲坂,能群大厦,3室2厅,117.3,,359.0,30606.0
2025-03-22,福建,厦门市,思明,莲坂,能群大厦,2室1厅,57.02,,238.0,41740.0
2025-03-07,福建,厦门市,思明,莲坂,能群大厦,,49.2,,27.0,5488.0
2025-02-15,福建,厦门市,思明,莲坂,能群大厦,2室2厅,96.14,,347.0,36094.0
2024-10-09,福建,厦门市,思明,莲坂,能群大厦,3室2厅,163.92,,535.0,32638.0
2025-10-18,福建,厦门市,思明,瑞景,瑞丽花园,1室1厅,33.6,,16.0,4762.0
2025-10-17,福建,厦门市,思明,瑞景,瑞丽花园,4室2厅,159.69,,650.0,40704.0
2025-08-16,福建,厦门市,思明,瑞景,瑞丽花园,3室2厅,125.91,,533.0,42372.0
2025-08-07,福建,厦门市,思明,瑞景,瑞丽花园,3室2厅,126.0,,560.0,44445.0
2025-07-10,福建,厦门市,思明,瑞景,瑞丽花园,,33.6,,27.0,8036.0
2025-03-01,福建,厦门市,思明,瑞景,瑞丽花园,3室2厅,125.76,,612.0,48704.0
2024-09-29,福建,厦门市,思明,瑞景,瑞丽花园,3室2厅,125.76,,600.0,47710.0
2024-09-29,福建,厦门市,思明,瑞景,瑞丽花园,3室2厅,125.99,,539.0,42782.0
2024-05-13,福建,厦门市,思明,瑞景,瑞丽花园,3室2厅,126.05,,580.0,46014.0
2024-03-31,福建,厦门市,思明,瑞景,瑞丽花园,4室2厅,159.69,,780.0,48845.0
2024-03-22,福建,厦门市,思明,瑞景,瑞丽花园,3室2厅,125.76,,610.0,48506.0
2023-08-31,福建,厦门市,思明,瑞景,瑞丽花园,4室1厅,157.84,,800.0,50685.0
2023-05-21,福建,厦门市,思明,瑞景,瑞丽花园,4室2厅,159.81,,820.0,51311.0
2023-02-07,福建,厦门市,思明,瑞景,瑞丽花园,4室2厅,159.81,,977.0,61136.0
2025-11-12,福建,厦门市,翔安,马巷,特房莱昂公馆一期,2室1厅,74.43,,100.0,13436.0
2025-09-25,福建,厦门市,翔安,马巷,特房莱昂公馆一期,,34.3,,8.0,2333.0
2025-08-24,福建,厦门市,翔安,马巷,特房莱昂公馆一期,3室1厅,89.45,,162.0,18167.0
2025-08-16,福建,厦门市,翔安,马巷,特房莱昂公馆一期,3室2厅,88.09,,142.0,16177.0
2025-07-09,福建,厦门市,翔安,马巷,特房莱昂公馆一期,3室2厅,98.4,,173.0,17673.0
2025-07-01,福建,厦门市,翔安,马巷,特房莱昂公馆一期,3室2厅,99.51,,176.0,17687.0
2025-06-19,福建,厦门市,翔安,马巷,特房莱昂公馆一期,4室2厅,101.34,,205.0,20229.0
2025-03-23,福建,厦门市,翔安,马巷,特房莱昂公馆一期,4室2厅,119.65,,216.0,18095.0
2025-03-19,福建,厦门市,翔安,马巷,特房莱昂公馆一期,4室2厅,119.53,,230.0,19243.0
2025-03-19,福建,厦门市,翔安,马巷,特房莱昂公馆一期,3室2厅,99.51,,180.0,18089.0
2025-02-27,福建,厦门市,翔安,马巷,特房莱昂公馆一期,4室2厅,127.56,,261.0,20461.0
2025-01-06,福建,厦门市,翔安,马巷,特房莱昂公馆一期,3室1厅,79.42,,143.0,18082.0
2025-01-04,福建,厦门市,翔安,马巷,特房莱昂公馆一期,3室2厅,89.99,,157.0,17447.0
2024-12-14,福建,厦门市,翔安,马巷,特房莱昂公馆一期,3室2厅,99.59,,178.0,17874.0
2024-12-08,福建,厦门市,翔安,马巷,特房莱昂公馆一期,3室2厅,88.38,,156.0,17652.0
2024-11-17,福建,厦门市,翔安,马巷,特房莱昂公馆一期,3室2厅,87.27,,151.0,17360.0
2024-11-10,福建,厦门市,翔安,马巷,特房莱昂公馆一期,3室2厅,99.51,,166.0,16763.0
2024-11-10,福建,厦门市,翔安,马巷,特房莱昂公馆一期,3室2厅,89.45,,150.0,16770.0
2024-11-04,福建,厦门市,翔安,马巷,特房莱昂公馆一期,4室2厅,119.53,,210.0,17569.0
2024-10-29,福建,厦门市,翔安,马巷,特房莱昂公馆一期,3室2厅,98.39,,175.0,17787.0
2024-09-15,福建,厦门市,翔安,马巷,特房莱昂公馆一期,3室2厅,88.38,,140.0,15841.0
2024-07-24,福建,厦门市,翔安,马巷,特房莱昂公馆一期,2室2厅,79.42,,142.0,17880.0
2024-07-22,福建,厦门市,翔安,马巷,特房莱昂公馆一期,4室2厅,103.28,,228.0,22154.0
2024-06-18,福建,厦门市,翔安,马巷,特房莱昂公馆一期,3室2厅,79.42,,148.0,18636.0
2024-06-08,福建,厦门市,翔安,马巷,特房莱昂公馆一期,4室2厅,97.84,,192.0,19624.0
2024-06-02,福建,厦门市,翔安,马巷,特房莱昂公馆一期,3室2厅,89.45,,171.0,19117.0
2024-03-31,福建,厦门市,翔安,马巷,特房莱昂公馆一期,3室2厅,88.88,,172.0,19352.0
2024-03-25,福建,厦门市,翔安,马巷,特房莱昂公馆一期,3室2厅,89.99,,183.0,20425.0
2024-03-23,福建,厦门市,翔安,马巷,特房莱昂公馆一期,3室2厅,88.87,,180.0,20255.0
2024-03-21,福建,厦门市,翔安,马巷,特房莱昂公馆一期,3室2厅,79.42,,155.0,19580.0
2024-03-18,福建,厦门市,翔安,马巷,特房莱昂公馆一期,3室1厅,88.38,,176.0,19915.0
2024-02-04,福建,厦门市,翔安,马巷,特房莱昂公馆一期,3室2厅,98.4,,228.0,23171.0
2023-11-20,福建,厦门市,翔安,马巷,特房莱昂公馆一期,3室1厅,88.88,,180.0,20253.0
2023-09-11,福建,厦门市,翔安,马巷,特房莱昂公馆一期,3室2厅,87.27,,187.0,21428.0
2023-07-05,福建,厦门市,翔安,马巷,特房莱昂公馆一期,3室2厅,99.47,,230.0,23123.0
2025-09-30,福建,厦门市,湖里,祥店,建发玺樾,,37.97,,10.0,2634.0
2025-09-30,福建,厦门市,湖里,祥店,建发玺樾,4室2厅,142.97,,600.0,41967.0
2025-08-21,福建,厦门市,湖里,祥店,建发玺樾,4室2厅,131.74,,498.0,37863.0
2025-08-20,福建,厦门市,湖里,祥店,建发玺樾,4室2厅,143.03,,609.0,42579.0
2025-08-16,福建,厦门市,湖里,祥店,建发玺樾,4室2厅,142.27,,596.0,41949.0
2025-08-15,福建,厦门市,湖里,祥店,建发玺樾,4室2厅,142.82,,568.0,39827.0
2025-08-15,福建,厦门市,湖里,祥店,建发玺樾,,30.0,,10.0,3334.0
2025-07-18,福建,厦门市,湖里,祥店,建发玺樾,,33.54,,10.0,2982.0
2025-07-18,福建,厦门市,湖里,祥店,建发玺樾,,33.54,,10.0,2982.0
2025-06-14,福建,厦门市,湖里,祥店,建发玺樾,,35.0,,12.0,3429.0
2025-06-09,福建,厦门市,湖里,祥店,建发玺樾,4室1厅,131.65,,570.0,43297.0
2025-04-03,福建,厦门市,湖里,祥店,建发玺樾,4室2厅,140.77,,670.0,47596.0
2025-03-26,福建,厦门市,湖里,祥店,建发玺樾,4室2厅,131.74,,600.0,45590.0
2025-03-06,福建,厦门市,湖里,祥店,建发玺樾,4室1厅,131.74,,590.0,44786.0
2024-12-19,福建,厦门市,湖里,祥店,建发玺樾,4室2厅,185.74,,988.0,53193.0
2024-10-26,福建,厦门市,湖里,祥店,建发玺樾,4室2厅,131.53,,618.0,46986.0
2024-06-19,福建,厦门市,湖里,祥店,建发玺樾,4室2厅,142.69,,760.0,53263.0
2024-06-08,福建,厦门市,湖里,祥店,建发玺樾,4室2厅,132.05,,573.0,43393.0
2024-05-11,福建,厦门市,湖里,祥店,建发玺樾,4室2厅,142.11,,755.0,53128.0
2024-03-22,福建,厦门市,湖里,祥店,建发玺樾,5室2厅,185.72,,1065.0,57345.0
2024-01-17,福建,厦门市,湖里,祥店,建发玺樾,5室2厅,184.61,,998.0,54060.0
2023-12-31,福建,厦门市,湖里,祥店,建发玺樾,5室2厅,186.57,,1140.0,61104.0
2023-12-20,福建,厦门市,湖里,祥店,建发玺樾,5室2厅,184.37,,952.0,51636.0
2023-09-16,福建,厦门市,湖里,祥店,建发玺樾,4室2厅,132.07,,735.0,55653.0
2023-08-19,福建,厦门市,湖里,祥店,建发玺樾,4室2厅,132.9,,820.0,61701.0
2023-08-14,福建,厦门市,湖里,祥店,建发玺樾,4室2厅,131.74,,838.0,63611.0
2025-10-22,福建,厦门市,同安,环东海域,中海万锦熙岸,4室1厅,129.42,,149.0,11513.0
2025-10-16,福建,厦门市,同安,环东海域,中海万锦熙岸,3室2厅,89.66,,113.0,12604.0
2025-10-04,福建,厦门市,同安,环东海域,中海万锦熙岸,3室2厅,89.66,,118.0,13161.0
2025-09-29,福建,厦门市,同安,环东海域,中海万锦熙岸,4室2厅,126.89,,147.0,11585.0
2025-09-27,福建,厦门市,同安,环东海域,中海万锦熙岸,3室1厅,88.08,,107.0,12171.0
2025-08-29,福建,厦门市,同安,环东海域,中海万锦熙岸,4室1厅,129.42,,149.0,11513.0
2025-08-28,福建,厦门市,同安,环东海域,中海万锦熙岸,,12.0,,5.0,4167.0
2025-08-25,福建,厦门市,同安,环东海域,中海万锦熙岸,3室1厅,88.45,,114.0,12900.0
2025-08-16,福建,厦门市,同安,环东海域,中海万锦熙岸,3室2厅,88.15,,109.0,12468.0
2025-07-29,福建,厦门市,同安,环东海域,中海万锦熙岸,3室2厅,86.84,,112.0,12955.0
2025-07-24,福建,厦门市,同安,环东海域,中海万锦熙岸,3室2厅,86.84,,103.0,11861.0
2025-07-22,福建,厦门市,同安,环东海域,中海万锦熙岸,3室2厅,87.54,,115.0,13137.0
2025-06-25,福建,厦门市,同安,环东海域,中海万锦熙岸,3室2厅,88.42,,123.0,13911.0
2025-05-22,福建,厦门市,同安,环东海域,中海万锦熙岸,3室1厅,86.84,,123.0,14164.0
2025-05-05,福建,厦门市,同安,环东海域,中海万锦熙岸,3室1厅,107.28,,160.0,14961.0
2025-05-02,福建,厦门市,同安,环东海域,中海万锦熙岸,3室1厅,86.84,,123.0,14164.0
2025-03-20,福建,厦门市,同安,环东海域,中海万锦熙岸,3室1厅,87.52,,112.0,12798.0
2025-03-01,福建,厦门市,同安,环东海域,中海万锦熙岸,3室2厅,87.52,,116.0,13255.0
2024-12-10,福建,厦门市,同安,环东海域,中海万锦熙岸,3室2厅,107.41,,168.0,15642.0
2024-12-05,福建,厦门市,同安,环东海域,中海万锦熙岸,3室2厅,107.41,,163.0,15223.0
2024-11-18,福建,厦门市,同安,环东海域,中海万锦熙岸,3室2厅,88.35,,128.0,14579.0
2024-11-15,福建,厦门市,同安,环东海域,中海万锦熙岸,2室2厅,74.21,,106.0,14284.0
2024-11-08,福建,厦门市,同安,环东海域,中海万锦熙岸,3室1厅,107.41,,165.0,15362.0
2024-10-27,福建,厦门市,同安,环东海域,中海万锦熙岸,3室2厅,88.17,,123.0,13971.0
2024-10-13,福建,厦门市,同安,环东海域,中海万锦熙岸,3室2厅,107.17,,139.0,13027.0
2024-10-12,福建,厦门市,同安,环东海域,中海万锦熙岸,3室1厅,86.84,,119.0,13704.0
2024-10-11,福建,厦门市,同安,环东海域,中海万锦熙岸,3室2厅,89.57,,122.0,13621.0
2024-10-11,福建,厦门市,同安,环东海域,中海万锦熙岸,3室2厅,86.84,,121.0,13934.0
2024-10-04,福建,厦门市,同安,环东海域,中海万锦熙岸,2室2厅,74.33,,105.0,14127.0
2024-09-01,福建,厦门市,同安,环东海域,中海万锦熙岸,3室1厅,87.52,,120.0,13712.0
2024-08-17,福建,厦门市,同安,环东海域,中海万锦熙岸,3室1厅,108.38,,143.0,13195.0
2024-08-15,福建,厦门市,同安,环东海域,中海万锦熙岸,3室2厅,108.38,,137.0,12697.0
2024-04-23,福建,厦门市,同安,环东海域,中海万锦熙岸,3室2厅,89.66,,149.0,16619.0
2024-03-16,福建,厦门市,同安,环东海域,中海万锦熙岸,3室2厅,88.93,,150.0,16958.0
2024-03-06,福建,厦门市,同安,环东海域,中海万锦熙岸,3室2厅,88.93,,147.0,16530.0
2024-02-22,福建,厦门市,同安,环东海域,中海万锦熙岸,3室2厅,107.0,,180.0,16823.0
2024-01-16,福建,厦门市,同安,环东海域,中海万锦熙岸,3室2厅,88.08,,146.0,16651.0
2023-11-24,福建,厦门市,同安,环东海域,中海万锦熙岸,2室2厅,74.31,,142.0,19217.0
2023-11-08,福建,厦门市,同安,环东海域,中海万锦熙岸,3室2厅,88.45,,160.0,18146.0
2023-11-07,福建,厦门市,同安,环东海域,中海万锦熙岸,3室1厅,85.76,,163.0,19007.0
2023-10-31,福建,厦门市,同安,环东海域,中海万锦熙岸,3室2厅,87.54,,161.0,18392.0
2023-10-29,福建,厦门市,同安,环东海域,中海万锦熙岸,2室2厅,74.21,,143.0,19270.0
2023-07-06,福建,厦门市,同安,环东海域,中海万锦熙岸,2室2厅,74.33,,139.0,18701.0
2023-07-01,福建,厦门市,同安,环东海域,中海万锦熙岸,3室2厅,88.15,,152.0,17244.0
2023-04-10,福建,厦门市,同安,环东海域,中海万锦熙岸,3室1厅,87.52,,180.0,20567.0
2023-03-22,福建,厦门市,同安,环东海域,中海万锦熙岸,3室2厅,103.74,,200.0,19279.0
2023-03-03,福建,厦门市,同安,环东海域,中海万锦熙岸,3室2厅,89.66,,187.0,20891.0
2023-02-20,福建,厦门市,同安,环东海域,中海万锦熙岸,2室1厅,61.44,,110.0,17904.0
2025-10-13,福建,厦门市,集美,杏林湾,禹洲中央海岸一期,3室2厅,91.95,,174.0,18924.0
2025-09-21,福建,厦门市,集美,杏林湾,禹洲中央海岸一期,,30.0,,9.0,3000.0
2025-09-21,福建,厦门市,集美,杏林湾,禹洲中央海岸一期,3室2厅,130.86,,269.0,20557.0
2025-09-06,福建,厦门市,集美,杏林湾,禹洲中央海岸一期,3室2厅,92.14,,209.0,22770.0
2025-08-18,福建,厦门市,集美,杏林湾,禹洲中央海岸一期,,34.63,,6.0,1733.0
2025-08-17,福建,厦门市,集美,杏林湾,禹洲中央海岸一期,3室2厅,137.15,,295.0,21510.0
2025-08-16,福建,厦门市,集美,杏林湾,禹洲中央海岸一期,,34.63,,17.0,4910.0
2025-08-16,福建,厦门市,集美,杏林湾,禹洲中央海岸一期,,34.63,,17.0,4910.0
2025-08-10,福建,厦门市,集美,杏林湾,禹洲中央海岸一期,,34.63,,9.0,2686.0
2025-07-05,福建,厦门市,集美,杏林湾,禹洲中央海岸一期,2室2厅,92.75,,184.0,19839.0
2025-07-05,福建,厦门市,集美,杏林湾,禹洲中央海岸一期,,25.0,,3.0,1200.0
2025-07-05,福建,厦门市,集美,杏林湾,禹洲中央海岸一期,,34.63,,9.0,2859.0
2025-06-22,福建,厦门市,集美,杏林湾,禹洲中央海岸一期,3室2厅,90.76,,180.0,19833.0
2025-06-20,福建,厦门市,集美,杏林湾,禹洲中央海岸一期,4室2厅,136.75,,264.0,19306.0
2025-06-19,福建,厦门市,集美,杏林湾,禹洲中央海岸一期,,34.63,,11.0,3434.0
2025-06-06,福建,厦门市,集美,杏林湾,禹洲中央海岸一期,2室1厅,58.75,,56.0,9532.0
2025-05-28,福建,厦门市,集美,杏林湾,禹洲中央海岸一期,2室1厅,92.09,,206.0,22370.0
2025-05-21,福建,厦门市,集美,杏林湾,禹洲中央海岸一期,3室2厅,130.26,,272.0,20882.0
2025-05-06,福建,厦门市,集美,杏林湾,禹洲中央海岸一期,3室2厅,92.21,,226.0,24575.0
2025-05-02,福建,厦门市,集美,杏林湾,禹洲中央海岸一期,3室1厅,92.16,,208.0,22570.0
2025-04-08,福建,厦门市,集美,杏林湾,禹洲中央海岸一期,4室2厅,137.12,,306.0,22317.0
2025-04-06,福建,厦门市,集美,杏林湾,禹洲中央海岸一期,2室2厅,73.45,,99.0,13479.0
2025-03-12,福建,厦门市,集美,杏林湾,禹洲中央海岸一期,4室2厅,137.3,,316.0,23074.0
2025-02-25,福建,厦门市,集美,杏林湾,禹洲中央海岸一期,3室2厅,101.4,,248.0,24458.0
2025-02-21,福建,厦门市,集美,杏林湾,禹洲中央海岸一期,3室2厅,111.7,,280.0,25068.0
2025-02-19,福建,厦门市,集美,杏林湾,禹洲中央海岸一期,4室2厅,71.13,,96.0,13609.0
2025-02-16,福建,厦门市,集美,杏林湾,禹洲中央海岸一期,3室1厅,100.92,,240.0,23782.0
2025-02-15,福建,厦门市,集美,杏林湾,禹洲中央海岸一期,3室2厅,93.19,,196.0,21033.0
2024-12-28,福建,厦门市,集美,杏林湾,禹洲中央海岸一期,3室2厅,111.56,,303.0,27222.0
2024-12-02,福建,厦门市,集美,杏林湾,禹洲中央海岸一期,3室2厅,130.18,,335.0,25734.0
2024-11-24,福建,厦门市,集美,杏林湾,禹洲中央海岸一期,3室1厅,111.24,,259.0,23283.0
